org,id,login,avatar_url,type
mozilla,451203,"0c0w3",https://avatars.githubusercontent.com/u/451203?v=3,User
mozilla,459117,"21echoes",https://avatars.githubusercontent.com/u/459117?v=3,User
mozilla,96396,"6a68",https://avatars.githubusercontent.com/u/96396?v=3,User
mozilla,3715173,"AALEKH",https://avatars.githubusercontent.com/u/3715173?v=3,User
mozilla,617994,"acabunoc",https://avatars.githubusercontent.com/u/617994?v=3,User
mozilla,1406778,"Ackar",https://avatars.githubusercontent.com/u/1406778?v=3,User
mozilla,1901816,"adamlofting",https://avatars.githubusercontent.com/u/1901816?v=3,User
mozilla,328790,"AdrianGaudebert",https://avatars.githubusercontent.com/u/328790?v=3,User
mozilla,273734,"ahal",https://avatars.githubusercontent.com/u/273734?v=3,User
mozilla,1682681,"alanmoo",https://avatars.githubusercontent.com/u/1682681?v=3,User
mozilla,400117,"alexgibson",https://avatars.githubusercontent.com/u/400117?v=3,User
mozilla,140206,"alfredo",https://avatars.githubusercontent.com/u/140206?v=3,User
mozilla,4368149,"alicoding",https://avatars.githubusercontent.com/u/4368149?v=3,User
mozilla,67073,"almet",https://avatars.githubusercontent.com/u/67073?v=3,User
mozilla,980049,"almossawi",https://avatars.githubusercontent.com/u/980049?v=3,User
mozilla,399120,"andreastt",https://avatars.githubusercontent.com/u/399120?v=3,User
mozilla,159848,"andrewhayward",https://avatars.githubusercontent.com/u/159848?v=3,User
mozilla,74699,"andymckay",https://avatars.githubusercontent.com/u/74699?v=3,User
mozilla,1151263,"anushbmx",https://avatars.githubusercontent.com/u/1151263?v=3,User
mozilla,2667489,"ariestiyansyah",https://avatars.githubusercontent.com/u/2667489?v=3,User
mozilla,1163554,"ashleygwilliams",https://avatars.githubusercontent.com/u/1163554?v=3,User
mozilla,1042649,"askeing",https://avatars.githubusercontent.com/u/1042649?v=3,User
mozilla,212206,"asutherland",https://avatars.githubusercontent.com/u/212206?v=3,User
mozilla,128518,"AutomatedTester",https://avatars.githubusercontent.com/u/128518?v=3,User
mozilla,50103,"autonome",https://avatars.githubusercontent.com/u/50103?v=3,User
mozilla,2164962,"avih",https://avatars.githubusercontent.com/u/2164962?v=3,User
mozilla,1937160,"Ayrx",https://avatars.githubusercontent.com/u/1937160?v=3,User
mozilla,831718,"bbondy",https://avatars.githubusercontent.com/u/831718?v=3,User
mozilla,84762,"bdaehlie",https://avatars.githubusercontent.com/u/84762?v=3,User
mozilla,703611,"bebef1987",https://avatars.githubusercontent.com/u/703611?v=3,User
mozilla,541325,"benrito",https://avatars.githubusercontent.com/u/541325?v=3,User
mozilla,198507,"bensternthal",https://avatars.githubusercontent.com/u/198507?v=3,User
mozilla,95570,"bgrins",https://avatars.githubusercontent.com/u/95570?v=3,User
mozilla,49649,"bhearsum",https://avatars.githubusercontent.com/u/49649?v=3,User
mozilla,4486964,"bitgeeky",https://avatars.githubusercontent.com/u/4486964?v=3,User
mozilla,79535,"bjacob",https://avatars.githubusercontent.com/u/79535?v=3,User
mozilla,1247421,"bjdixon",https://avatars.githubusercontent.com/u/1247421?v=3,User
mozilla,8356717,"bkmunar",https://avatars.githubusercontent.com/u/8356717?v=3,User
mozilla,1914903,"BorisChiou",https://avatars.githubusercontent.com/u/1914903?v=3,User
mozilla,345974,"brettgaylor",https://avatars.githubusercontent.com/u/345974?v=3,User
mozilla,114116,"brianking",https://avatars.githubusercontent.com/u/114116?v=3,User
mozilla,147214,"brson",https://avatars.githubusercontent.com/u/147214?v=3,User
mozilla,159571,"bwinton",https://avatars.githubusercontent.com/u/159571?v=3,User
mozilla,438003,"cadecairos",https://avatars.githubusercontent.com/u/438003?v=3,User
mozilla,24193,"callahad",https://avatars.githubusercontent.com/u/24193?v=3,User
