org,repository,id,creator,updated_date,html_url,issue_url
mozilla,webmaker-login-ux,74893809,"cadecairos",2015-02-18T16:22:02Z,https://github.com/mozilla/login.webmaker.org/issues/313#issuecomment-74893809,https://api.github.com/repos/mozilla/login.webmaker.org/issues/313
mozilla,webmaker-login-ux,77612252,"thisandagain",2015-03-06T18:43:43Z,https://github.com/mozilla/login.webmaker.org/issues/313#issuecomment-77612252,https://api.github.com/repos/mozilla/login.webmaker.org/issues/313
mozilla,webmaker-login-ux,84089890,"LucyeoH",2015-03-20T18:03:07Z,https://github.com/mozilla/login.webmaker.org/issues/313#issuecomment-84089890,https://api.github.com/repos/mozilla/login.webmaker.org/issues/313
mozilla,webmaker-login-ux,85072415,"LucyeoH",2015-03-23T16:17:35Z,https://github.com/mozilla/login.webmaker.org/issues/313#issuecomment-85072415,https://api.github.com/repos/mozilla/login.webmaker.org/issues/313
mozilla,webmaker-login-ux,71342607,"scootergrisen",2015-01-24T23:21:58Z,https://github.com/mozilla/login.webmaker.org/issues/312#issuecomment-71342607,https://api.github.com/repos/mozilla/login.webmaker.org/issues/312
mozilla,webmaker-login-ux,118993634,"ashleygwilliams",2015-07-06T20:47:00Z,https://github.com/mozilla/login.webmaker.org/pull/307#issuecomment-118993634,https://api.github.com/repos/mozilla/login.webmaker.org/issues/307
mozilla,webmaker-login-ux,118994361,"cadecairos",2015-07-06T20:50:26Z,https://github.com/mozilla/login.webmaker.org/pull/307#issuecomment-118994361,https://api.github.com/repos/mozilla/login.webmaker.org/issues/307
mozilla,webmaker-core,76750798,"k88hudson",2015-03-02T16:58:25Z,https://github.com/mozilla/webmaker-login-ux/issues/167#issuecomment-76750798,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/167
mozilla,webmaker-core,95363269,"Pomax",2015-04-22T23:13:42Z,https://github.com/mozilla/webmaker-login-ux/issues/169#issuecomment-95363269,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/169
mozilla,webmaker-core,95413109,"humphd",2015-04-23T03:17:58Z,https://github.com/mozilla/webmaker-login-ux/issues/169#issuecomment-95413109,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/169
mozilla,webmaker-core,95678798,"Pomax",2015-04-23T18:32:29Z,https://github.com/mozilla/webmaker-login-ux/issues/169#issuecomment-95678798,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/169
mozilla,webmaker-core,95679112,"humphd",2015-04-23T18:34:12Z,https://github.com/mozilla/webmaker-login-ux/issues/169#issuecomment-95679112,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/169
mozilla,webmaker-core,72664358,"cadecairos",2015-02-03T14:58:25Z,https://github.com/mozilla/webmaker-login-ux/issues/160#issuecomment-72664358,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/160
mozilla,webmaker-core,71083544,"cadecairos",2015-01-22T19:35:29Z,https://github.com/mozilla/webmaker-login-ux/issues/154#issuecomment-71083544,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/154
mozilla,webmaker-core,71083657,"secretrobotron",2015-01-22T19:36:06Z,https://github.com/mozilla/webmaker-login-ux/issues/154#issuecomment-71083657,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/154
mozilla,webmaker-core,71084280,"gesa",2015-01-22T19:39:51Z,https://github.com/mozilla/webmaker-login-ux/issues/154#issuecomment-71084280,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/154
mozilla,webmaker-core,71084538,"vazquez",2015-01-22T19:41:23Z,https://github.com/mozilla/webmaker-login-ux/issues/154#issuecomment-71084538,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/154
mozilla,webmaker-core,69814366,"errietta",2015-01-13T20:32:48Z,https://github.com/mozilla/webmaker-login-ux/issues/144#issuecomment-69814366,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/144
mozilla,webmaker-core,69609370,"k88hudson",2015-01-12T17:32:14Z,https://github.com/mozilla/webmaker-login-ux/issues/142#issuecomment-69609370,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/142
mozilla,webmaker-core,68950333,"xmatthewx",2015-01-06T22:58:37Z,https://github.com/mozilla/webmaker-login-ux/issues/135#issuecomment-68950333,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/135
mozilla,webmaker-core,68950933,"davidascher",2015-01-06T23:03:13Z,https://github.com/mozilla/webmaker-login-ux/issues/135#issuecomment-68950933,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/135
mozilla,webmaker-core,68951087,"k88hudson",2015-01-06T23:04:32Z,https://github.com/mozilla/webmaker-login-ux/issues/135#issuecomment-68951087,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/135
mozilla,webmaker-core,69935818,"k88hudson",2015-01-14T15:45:27Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-69935818,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,69936092,"alicoding",2015-01-14T15:46:46Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-69936092,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,69936567,"cadecairos",2015-01-14T15:49:27Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-69936567,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,69936712,"errietta",2015-01-14T15:50:13Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-69936712,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,69936728,"k88hudson",2015-01-14T15:50:19Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-69936728,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,94482875,"RangerMauve",2015-04-20T15:24:11Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-94482875,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,101395477,"benmj",2015-05-12T19:35:56Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-101395477,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,101397412,"RangerMauve",2015-05-12T19:44:24Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-101397412,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,101409209,"benmj",2015-05-12T20:21:08Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-101409209,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,101409745,"RangerMauve",2015-05-12T20:23:20Z,https://github.com/mozilla/webmaker-login-ux/issues/146#issuecomment-101409745,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/146
mozilla,webmaker-core,68963077,"jbuck",2015-01-07T01:03:05Z,https://github.com/mozilla/webmaker-login-ux/issues/134#issuecomment-68963077,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/134
mozilla,webmaker-core,69041821,"davidascher",2015-01-07T15:55:39Z,https://github.com/mozilla/webmaker-login-ux/issues/134#issuecomment-69041821,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/134
mozilla,webmaker-core,70182794,"errietta",2015-01-15T23:29:03Z,https://github.com/mozilla/webmaker-login-ux/issues/131#issuecomment-70182794,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/131
mozilla,webmaker-core,68950611,"xmatthewx",2015-01-07T17:21:49Z,https://github.com/mozilla/webmaker-login-ux/issues/130#issuecomment-68950611,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/130
mozilla,webmaker-core,69056686,"Pomax",2015-01-07T17:26:03Z,https://github.com/mozilla/webmaker-login-ux/issues/130#issuecomment-69056686,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/130
mozilla,webmaker-core,69066600,"xmatthewx",2015-01-07T18:25:02Z,https://github.com/mozilla/webmaker-login-ux/issues/130#issuecomment-69066600,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/130
mozilla,webmaker-core,70568883,"errietta",2015-01-19T21:59:29Z,https://github.com/mozilla/webmaker-login-ux/issues/130#issuecomment-70568883,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/130
mozilla,webmaker-core,70188131,"errietta",2015-01-16T00:17:11Z,https://github.com/mozilla/webmaker-login-ux/issues/118#issuecomment-70188131,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/118
mozilla,webmaker-core,70290702,"errietta",2015-01-16T17:37:47Z,https://github.com/mozilla/webmaker-login-ux/issues/118#issuecomment-70290702,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/118
mozilla,webmaker-core,67900902,"thisandagain",2014-12-22T22:49:36Z,https://github.com/mozilla/webmaker-login-ux/issues/114#issuecomment-67900902,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/114
mozilla,webmaker-core,67902161,"xmatthewx",2014-12-22T23:03:02Z,https://github.com/mozilla/webmaker-login-ux/issues/114#issuecomment-67902161,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/114
mozilla,webmaker-core,67948604,"toolness",2014-12-23T13:00:34Z,https://github.com/mozilla/webmaker-login-ux/issues/114#issuecomment-67948604,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/114
mozilla,webmaker-core,68811109,"Pomax",2015-01-06T01:16:11Z,https://github.com/mozilla/webmaker-login-ux/issues/114#issuecomment-68811109,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/114
mozilla,webmaker-core,68812088,"thisandagain",2015-01-06T01:19:08Z,https://github.com/mozilla/webmaker-login-ux/issues/114#issuecomment-68812088,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/114
mozilla,webmaker-core,67902781,"xmatthewx",2014-12-22T23:09:14Z,https://github.com/mozilla/webmaker-login-ux/issues/109#issuecomment-67902781,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/109
mozilla,webmaker-core,67895868,"toolness",2014-12-22T22:03:24Z,https://github.com/mozilla/webmaker-login-ux/issues/108#issuecomment-67895868,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/108
mozilla,webmaker-core,67897808,"toolness",2014-12-22T22:20:27Z,https://github.com/mozilla/webmaker-login-ux/issues/108#issuecomment-67897808,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/108
mozilla,webmaker-core,67900842,"thisandagain",2014-12-22T22:48:57Z,https://github.com/mozilla/webmaker-login-ux/issues/112#issuecomment-67900842,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/112
mozilla,webmaker-core,67960049,"xmatthewx",2014-12-23T15:11:40Z,https://github.com/mozilla/webmaker-login-ux/issues/112#issuecomment-67960049,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/112
mozilla,webmaker-core,67968582,"edrushka",2014-12-23T16:22:29Z,https://github.com/mozilla/webmaker-login-ux/issues/112#issuecomment-67968582,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/112
mozilla,webmaker-core,68010987,"xmatthewx",2014-12-23T23:37:48Z,https://github.com/mozilla/webmaker-login-ux/issues/112#issuecomment-68010987,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/112
